CopyBarcode,CallNumber,Title,MaterialType,PublicationYear,Status,DateLastAccountedFor,DateAcquired,TotalCirculations,CirculationsThisYear,CirculationsLastYear,CirculationsThisMonth
T 61631,VIDEO 535.6 UND,Understanding color & light,Video,2001,Available,2/7/2023,4/6/2009,2,0,0,0
T 31160,VIDEO 536 HEA,Heat,Video,2004,Available,2/7/2023,3/7/2006,1,0,0,0
T 33801,VIDEO 536 HEA,Heat,Video,1996,Available,2/7/2023,4/12/2006,16,0,0,0
T 33797,VIDEO 537 ELE,Electrical current,Video,1996,Available,2/7/2023,4/12/2006,11,0,0,0
T 62882,VIDEO 537 ELE,Electrical current,Video,2003,Available,2/7/2023,4/2/2012,5,0,0,0
T 62906,VIDEO 537 STA,Static electricity,Video,2005,Available,2/7/2023,4/2/2012,4,0,0,0
T 30833,VIDEO 537.6 BIL,Bill Nye the science guy : Electrical current.,Video,,Available,2/7/2023,9/16/2004,23,0,0,0
T 30832,VIDEO 538 BIL,Bill Nye the science guy : Magnetism.,Video,,Available,2/7/2023,9/16/2004,22,0,0,0
T 62890,VIDEO 538 MAG,Magnetism,Video,2005,Available,2/7/2023,4/2/2012,2,0,0,0
T 62874,VIDEO 539 ATO,Atoms,Video,2003,Available,2/7/2023,4/2/2012,7,0,0,0
T 30828,VIDEO 539.7 BIL,Bill Nye the science guy : Atoms.,Video,,Available,2/7/2023,9/16/2004,30,0,0,0
T 30835,VIDEO 541 BIL,Chemical Reactions: : Bill Nye the Science Guy,Video,,Available,2/7/2023,9/16/2004,28,0,0,0
T 62875,VIDEO 541 CHE,Chemical reactions,Video,2003,Available,2/7/2023,4/2/2012,12,0,0,0
T 30837,VIDEO 541.2 HIS,The history of the periodic table,Video,2004,Available,2/7/2023,9/16/2004,25,0,0,0
T 30919,VIDEO 546 PRO,Properties of elements,Video,2004,Available,2/7/2023,9/21/2004,18,0,0,0
T 30928,VIDEO 546.8 PRO,Properties of compounds,Video,2004,Available,2/7/2023,9/21/2004,33,0,0,0
T 30913,VIDEO 546.8 USI,Using the periodic table,Video,2004,Available,2/7/2023,9/21/2004,22,0,0,0
T 60910,VIDEO 551 LIV,Living rock,Video,2002,Available,2/7/2023,4/17/2008,1,0,0,0
T 31158,VIDEO 551.1 GEO,Plate tectonics,Video,2005,Available,2/7/2023,3/7/2006,1,0,0,0
T 61628,VIDEO 551.2 EAR,Earthquakes & volcanoes,Video,2004,Available,2/7/2023,4/6/2009,1,0,0,0
T 33810,VIDEO 551.2 RIN,Ring of fire,Video,2002,Available,2/7/2023,4/12/2006,20,0,1,0
T 61243,VIDEO 551.21 VOL,Volcano nature's inferno,Video,2003,Available,2/7/2023,5/28/2008,2,0,0,0
T 30834,VIDEO 551.4 BIL,Bill Nye the science guy Water cycle : Oceanography,Video,,Available,2/7/2023,9/16/2004,4,0,0,0
T 40954,VIDEO 551.41,The Sahara Interactive lesson plan,Video,2006,Available,2/7/2023,6/7/2012,0,0,0,0
T 33803,VIDEO 551.44 JOU,Journey into amazing caves,Video,2002,Available,2/7/2023,4/12/2006,16,0,0,0
